Unnamed: 0,Brand,Price,Processor_Name,RAM_Expandable,RAM,RAM_TYPE,Ghz,Display_type,Display,GPU,SSD,HDD,Adapter,Battery_Life,Battery_Life_num
1810,Lenovo,81334.0,Intel Core i5 (7th Gen), 32 GB Expandable,8 GB , DDR4 RAM ,0.45454545454545453,LED,15.6 ,"Geforce GTX 1050Ti GPU, 4 GB",128 GB SSD Storage , 1024 GB HDD Storage,0.13636363636363635, Upto 4 Hrs Battery Life,4.0
1811,Apple,104990.0,Intel Core i5 (8th Gen),Not Expandable,8 GB LP, LPDDR3 RAM,0.29090909090909095,LED,13.3 ,UHD 617,256 GB SSD Storage,No HDD,0.0, Upto 13 Hrs Battery Life,13.0
1820,Acer,120999.0,Intel Core i7 (7th Gen), 32 GB Expandable,16 GB , DDR4 RAM ,0.509090909090909,LED,15.6 ,"GeForce GTX 1060 GPU, 6 GB",256 GB SSD Storage , 2048 GB HDD Storage,0.4090909090909091, Upto 6 Hrs Battery Life,6.0
1827,Lenovo,68990.0,Intel Core i5 (11th Gen),Not Expandable,16 GB , DDR4 RAM,0.6,LCD,15.6 ,"GeForce RTX 3050 GPU, 4 GB",256 GB SSD Storage , 1024 GB HDD Storage,0.5151515151515151, Upto 8 Hrs Battery Life,8.0
1829,ASUS,85990.0,Intel Core i7 (8th Gen),Not Expandable,16 GB LP, LPDDR3 RAM,0.32727272727272727,LED,14 ,UHD 620,512 GB SSD Storage,No HDD,0.15151515151515152, Upto 13 Hrs Battery Life,13.0
1836,Acer,49599.0,Intel Core i5 (11th Gen),Not Expandable,8 GB , DDR4 RAM,0.7636363636363637,LCD,14 ,Iris Xe,512 GB SSD Storage,No HDD,0.19696969696969696, Upto 11.5 Hrs Battery Life,11.5
1843,AVITA,28349.0,Intel Core i3 (8th Gen),Not Expandable,4 GB , DDR4 RAM,0.38181818181818183,LED,14 ,UHD 620,256 GB SSD Storage,No HDD,0.0,Upto 10 Hrs Battery Life,10.0
1844,Acer,33999.0,Intel Core i3 (7th Gen), 12 GB Expandable,4 GB , DDR4 RAM ,0.49090909090909096,LED,15.6 ,HD 620,NO SSD,1024 GB HDD Storage,0.13636363636363635, Upto 6 Hrs Battery Life,6.0
1845,HP,38000.0,Intel Core i3 (11th Gen),Not Expandable,8 GB , DDR4 RAM,0.6181818181818182,LCD,15.6 ,UHD,256 GB SSD Storage,No HDD,0.12424242424242424, Upto 9.15 Hrs Battery Life,9.15
1848,Dell,29247.0,Intel Core i3 (10th Gen), 32 GB Expandable,4 GB , DDR4 RAM ,0.21818181818181817,LED,15.6 ,UHD,NO SSD,1024 GB HDD Storage,0.0,Upto 6 Hrs Battery Life,6.0
1867,Apple,109990.0,Intel Core i5 (10th Gen),Not Expandable,8 GB LP, LPDDR4X RAM,0.2,LED,13.3 ,Iris Plus,512 GB SSD Storage,No HDD,0.09090909090909091, Upto 11 Hrs Battery Life,11.0
1875,ASUS,92990.0,Intel Core i7 (12th Gen), 32 GB Expandable,16 GB , DDR5 RAM ,0.8545454545454546,LCD,15.6 ,"GeForce RTX 3050 Ti GPU, 4 GB",512 GB SSD Storage,No HDD,0.2727272727272727, Upto 10 Hrs Battery Life,10.0
1883,Dell,36515.0,Intel Core i5 (11th Gen), 16 GB Expandable,8 GB , DDR4 RAM ,0.7636363636363637,LED,14 ,Iris Xe,NO SSD,1024 GB HDD Storage,0.0,Upto 10 Hrs Battery Life,10.0
1884,ASUS,46590.0,AMD Quad-Core Ryzen 5, 16 GB Expandable,8 GB , DDR4 RAM ,0.36363636363636365,LED,15.6 ,"GeForce GTX 1050 GPU, 4 GB",NO SSD,1024 GB HDD Storage,0.36363636363636365, Upto 4 Hrs Battery Life,4.0
1886,Microsoft,92490.0,Intel Core i5 (10th Gen),Not Expandable,8 GB LP, LPDDR4X RAM,0.2,LED,12.3 ,Iris Plus,128 GB SSD Storage,No HDD,0.0,Upto 10.5 Hrs Battery Life,10.5
1892,Acer,31490.0,Intel Core i3 (11th Gen) Processor,Not Expandable,4 GB , DDR4 RAM,0.0,LED,14 ,UHD,256 GB SSD Storage,No HDD,0.13636363636363635, Upto 11.5 Hrs Battery Life,11.5
1896,HP,29490.0,Intel Core i3 (6th Gen),Not Expandable,4 GB , DDR4 RAM,0.36363636363636365,LED,14.0 ,HD 520,NO SSD,1024 GB HDD Storage,0.19696969696969696, Upto 4 Hrs Battery Life,4.0
1905,Dell,56554.0,Intel Core i5 (11th Gen), 32 GB Expandable,16 GB , DDR4 RAM ,0.4727272727272727,LCD,15.6 ,"GeForce RTX 3050 GPU, 4 GB",512 GB SSD Storage,No HDD,0.19696969696969696, Upto 6 Hrs Battery Life,6.0
1906,Acer,66990.0,Intel Core i5 (8th Gen), 32 GB Expandable,8 GB , DDR4 RAM ,0.29090909090909095,LED,15.6 ,"GeForce MX150 GPU, 2 GB",128 GB SSD Storage , 1024 GB HDD Storage,0.19696969696969696, Upto 10 Hrs Battery Life,10.0
1907,Dell,28143.0,Intel Core i3 (10th Gen),Not Expandable,4 GB , DDR4 RAM,0.21818181818181817,LED,14 ,UHD,NO SSD,1024 GB HDD Storage,0.0,Upto 6 Hrs Battery Life,6.0
